age,sex,inc,mort,ylds..years.lived.with.disability._rate_tbalc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,NA,NaN,NaN,NaN,NaN,Tbalc,0,10,0,NaN,NaN,5,male_Tbalc
1,male,NA,NaN,NaN,NaN,NaN,Tbalc,0,10,0,NaN,NaN,5,male_Tbalc
2,male,NA,NaN,NaN,NaN,NaN,Tbalc,0,10,0,NaN,NaN,5,male_Tbalc
3,male,NA,NaN,NaN,NaN,NaN,Tbalc,0,10,0,NaN,NaN,5,male_Tbalc
4,male,NA,NaN,NaN,NaN,NaN,Tbalc,0,10,0,NaN,NaN,5,male_Tbalc
5,male,NA,NaN,NaN,NaN,NaN,Tbalc,0,10,5,NaN,NaN,5,male_Tbalc
6,male,NA,NaN,NaN,NaN,NaN,Tbalc,0,10,5,NaN,NaN,5,male_Tbalc
7,male,NA,NaN,NaN,NaN,NaN,Tbalc,0,10,5,NaN,NaN,5,male_Tbalc
8,male,NA,NaN,NaN,NaN,NaN,Tbalc,0,10,5,NaN,NaN,5,male_Tbalc
9,male,NA,NaN,NaN,NaN,NaN,Tbalc,0,10,5,NaN,NaN,5,male_Tbalc
10,male,NA,NaN,NaN,NaN,NaN,Tbalc,0,50,10,NaN,NaN,5,male_Tbalc
11,male,NA,NaN,NaN,NaN,NaN,Tbalc,0,50,10,NaN,NaN,5,male_Tbalc
12,male,NA,NaN,NaN,NaN,NaN,Tbalc,0,50,10,NaN,NaN,5,male_Tbalc
13,male,NA,NaN,NaN,NaN,NaN,Tbalc,0,50,10,NaN,NaN,5,male_Tbalc
14,male,NA,NaN,NaN,NaN,NaN,Tbalc,0,50,10,NaN,NaN,5,male_Tbalc
15,male,1.48635474789179e-7,1.0459811182830121e-7,4.03472456038803e-8,2.0765596378591556e-7,6436,Tbalc,0,50,15,0,0,5,male_Tbalc
16,male,1.48635474789179e-7,1.0459811182830121e-7,4.03472456038803e-8,2.0765596378591556e-7,6436,Tbalc,0,50,15,0,0,5,male_Tbalc
17,male,1.48635474789179e-7,1.0459811182830121e-7,4.03472456038803e-8,2.0765596378591556e-7,6436,Tbalc,0,50,15,0,0,5,male_Tbalc
18,male,1.48635474789179e-7,1.0459811182830121e-7,4.03472456038803e-8,2.0765596378591556e-7,6436,Tbalc,0,50,15,0,0,5,male_Tbalc
19,male,1.48635474789179e-7,1.0459811182830121e-7,4.03472456038803e-8,2.0765596378591556e-7,6436,Tbalc,0,50,15,0,0,5,male_Tbalc
20,male,6.940585632302095e-7,4.175725981288683e-7,2.0357556519418279e-7,1.2716822979207376e-6,7845,Tbalc,0,50,20,0,0,5,male_Tbalc
21,male,6.940585632302095e-7,4.175725981288683e-7,2.0357556519418279e-7,1.2716822979207376e-6,7845,Tbalc,0,50,20,0,0,5,male_Tbalc
22,male,6.940585632302095e-7,4.175725981288683e-7,2.0357556519418279e-7,1.2716822979207376e-6,7845,Tbalc,0,50,20,0,0,5,male_Tbalc
23,male,6.940585632302095e-7,4.175725981288683e-7,2.0357556519418279e-7,1.2716822979207376e-6,7845,Tbalc,0,50,20,0,0,5,male_Tbalc
24,male,6.940585632302095e-7,4.175725981288683e-7,2.0357556519418279e-7,1.2716822979207376e-6,7845,Tbalc,0,50,20,0,0,5,male_Tbalc
25,male,1.900892157651152e-6,9.958492686141648e-7,5.808090602210021e-7,3.92772558591853e-6,9023,Tbalc,0,50,25,0,0,5,male_Tbalc
26,male,1.900892157651152e-6,9.958492686141648e-7,5.808090602210021e-7,3.92772558591853e-6,9023,Tbalc,0,50,25,0,0,5,male_Tbalc
27,male,1.900892157651152e-6,9.958492686141648e-7,5.808090602210021e-7,3.92772558591853e-6,9023,Tbalc,0,50,25,0,0,5,male_Tbalc
28,male,1.900892157651152e-6,9.958492686141648e-7,5.808090602210021e-7,3.92772558591853e-6,9023,Tbalc,0,50,25,0,0,5,male_Tbalc
29,male,1.900892157651152e-6,9.958492686141648e-7,5.808090602210021e-7,3.92772558591853e-6,9023,Tbalc,0,50,25,0,0,5,male_Tbalc
30,male,5.84126652234565e-6,3.3979400774923465e-6,1.7027983067282366e-6,1.0430790137915944e-5,8448,Tbalc,0,50,30,0,0,5,male_Tbalc
31,male,5.84126652234565e-6,3.3979400774923465e-6,1.7027983067282366e-6,1.0430790137915944e-5,8448,Tbalc,0,50,30,0,0,5,male_Tbalc
32,male,5.84126652234565e-6,3.3979400774923465e-6,1.7027983067282366e-6,1.0430790137915944e-5,8448,Tbalc,0,50,30,0,0,5,male_Tbalc
