age,sex,inc,mort,ylds (years lived with disability)_rate_dmt2,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,0.9806871850328782,0,0.006853397024839338,0.1397173332005595,6980,Dmt2,0,10,0,1,0,5,male_Dmt2
1,male,0.9806871850328782,0,0.006853397024839338,0.1397173332005595,6980,Dmt2,0,10,0,1,0,5,male_Dmt2
2,male,0.9806871850328782,0,0.006853397024839338,0.1397173332005595,6980,Dmt2,0,10,0,1,0,5,male_Dmt2
3,male,0.9806871850328782,0,0.006853397024839338,0.1397173332005595,6980,Dmt2,0,10,0,1,0,5,male_Dmt2
4,male,0.9806871850328782,0,0.006853397024839338,0.1397173332005595,6980,Dmt2,0,10,0,1,0,5,male_Dmt2
5,male,0.9330988798891804,0,0.009964522419129226,0.18099699341985107,6917,Dmt2,0,10,5,2,0,5,male_Dmt2
6,male,0.9330988798891804,0,0.009964522419129226,0.18099699341985107,6917,Dmt2,0,10,5,2,0,5,male_Dmt2
7,male,0.9330988798891804,0,0.009964522419129226,0.18099699341985107,6917,Dmt2,0,10,5,2,0,5,male_Dmt2
8,male,0.9330988798891804,0,0.009964522419129226,0.18099699341985107,6917,Dmt2,0,10,5,2,0,5,male_Dmt2
9,male,0.9330988798891804,0,0.009964522419129226,0.18099699341985107,6917,Dmt2,0,10,5,2,0,5,male_Dmt2
10,male,7.177394632809101e-4,0,4.089039921398484e-5,8.22467655756481e-4,6234,Dmt2,0,50,10,0,0,5,male_Dmt2
11,male,7.177394632809101e-4,0,4.089039921398484e-5,8.22467655756481e-4,6234,Dmt2,0,50,10,0,0,5,male_Dmt2
12,male,7.177394632809101e-4,0,4.089039921398484e-5,8.22467655756481e-4,6234,Dmt2,0,50,10,0,0,5,male_Dmt2
13,male,7.177394632809101e-4,0,4.089039921398484e-5,8.22467655756481e-4,6234,Dmt2,0,50,10,0,0,5,male_Dmt2
14,male,7.177394632809101e-4,0,4.089039921398484e-5,8.22467655756481e-4,6234,Dmt2,0,50,10,0,0,5,male_Dmt2
15,male,0.0029695108333978194,7.334523049334656e-8,5.008771055537584e-4,0.009553000819518879,6436,Dmt2,0,50,15,0,0,5,male_Dmt2
