"","measure","location","sex","age","cause","metric","year","val","upper","lower"
"949717","YLDs (Years Lived with Disability)","Bristol, City of","Male","Under 5","Chronic obstructive pulmonary disease","Number",2017,0.349620571389,0.511927990573,0.200580114563
"949718","YLDs (Years Lived with Disability)","Bristol, City of","Female","Under 5","Chronic obstructive pulmonary disease","Number",2017,0.431876125435,0.563705555056,0.290951196844
"949719","YLDs (Years Lived with Disability)","Bristol, City of","Male","Under 5","Chronic obstructive pulmonary disease","Percent",2017,0.000752683137717,0.00112146644701,0.00042579678926
"949720","YLDs (Years Lived with Disability)","Bristol, City of","Female","Under 5","Chronic obstructive pulmonary disease","Percent",2017,0.00103451862254,0.00143187941628,0.000660395680172
"949721","YLDs (Years Lived with Disability)","Bristol, City of","Male","Under 5","Chronic obstructive pulmonary disease","Rate",2017,2.17551589871,3.18547469351,1.24811084904
"949722","YLDs (Years Lived with Disability)","Bristol, City of","Female","Under 5","Chronic obstructive pulmonary disease","Rate",2017,2.83448505923,3.69970665084,1.90956797991
"949723","YLDs (Years Lived with Disability)","Bristol, City of","Male","5 to 9","Chronic obstructive pulmonary disease","Number",2017,0.996914476749,1.81559577104,0.481706688829
"949724","YLDs (Years Lived with Disability)","Bristol, City of","Female","5 to 9","Chronic obstructive pulmonary disease","Number",2017,1.27296172858,2.52847759769,0.300540768926
"949725","YLDs (Years Lived with Disability)","Bristol, City of","Male","5 to 9","Chronic obstructive pulmonary disease","Percent",2017,0.00169647735929,0.00321948750137,0.000654185064635
"949726","YLDs (Years Lived with Disability)","Bristol, City of","Female","5 to 9","Chronic obstructive pulmonary disease","Percent",2017,0.0024232868885,0.00497267417847,0.0005262628251
"949727","YLDs (Years Lived with Disability)","Bristol, City of","Male","5 to 9","Chronic obstructive pulmonary disease","Rate",2017,6.718126563,12.2351540294,3.24618267392
"949728","YLDs (Years Lived with Disability)","Bristol, City of","Female","5 to 9","Chronic obstructive pulmonary disease","Rate",2017,8.89767054131,17.6733990741,2.10070160484
"949729","YLDs (Years Lived with Disability)","Bristol, City of","Male","10 to 14","Chronic obstructive pulmonary disease","Number",2017,1.5114357546,2.89477564448,0.490906599644
"949730","YLDs (Years Lived with Disability)","Bristol, City of","Female","10 to 14","Chronic obstructive pulmonary disease","Number",2017,2.0092232693,3.49945199406,0.805649192383
"949731","YLDs (Years Lived with Disability)","Bristol, City of","Male","10 to 14","Chronic obstructive pulmonary disease","Percent",2017,0.00241232821884,0.0044378125447,0.000805746892965
"949732","YLDs (Years Lived with Disability)","Bristol, City of","Female","10 to 14","Chronic obstructive pulmonary disease","Percent",2017,0.00295339532092,0.00529127701105,0.00115560836608
"949733","YLDs (Years Lived with Disability)","Bristol, City of","Male","10 to 14","Chronic obstructive pulmonary disease","Rate",2017,12.3904656505,23.7308255278,4.02435984591
"949734","YLDs (Years Lived with Disability)","Bristol, City of","Female","10 to 14","Chronic obstructive pulmonary disease","Rate",2017,16.4946164705,28.7285735642,6.61393616188
"949735","YLDs (Years Lived with Disability)","Bristol, City of","Male","15 to 19","Chronic obstructive pulmonary disease","Number",2017,3.01095973634,4.78803814684,1.53342881157
"949736","YLDs (Years Lived with Disability)","Bristol, City of","Female","15 to 19","Chronic obstructive pulmonary disease","Number",2017,4.39188273651,6.77596441053,2.34008631836
"949737","YLDs (Years Lived with Disability)","Bristol, City of","Male","15 to 19","Chronic obstructive pulmonary disease","Percent",2017,0.0031935053002,0.00509646685829,0.00167595904981
"949738","YLDs (Years Lived with Disability)","Bristol, City of","Female","15 to 19","Chronic obstructive pulmonary disease","Percent",2017,0.00371854788825,0.00592717059454,0.0020049823174
"949739","YLDs (Years Lived with Disability)","Bristol, City of","Male","15 to 19","Chronic obstructive pulmonary disease","Rate",2017,24.1875433885,38.4631116202,12.3182902333
"949740","YLDs (Years Lived with Disability)","Bristol, City of","Female","15 to 19","Chronic obstructive pulmonary disease","Rate",2017,33.7370715849,52.0508424495,17.9758122823
"949741","YLDs (Years Lived with Disability)","Bristol, City of","Male","20 to 24","Chronic obstructive pulmonary disease","Number",2017,7.74564802615,12.0954596782,4.43914624897
"949742","YLDs (Years Lived with Disability)","Bristol, City of","Female","20 to 24","Chronic obstructive pulmonary disease","Number",2017,11.6249307633,17.0360256767,7.06047218393
"949743","YLDs (Years Lived with Disability)","Bristol, City of","Male","20 to 24","Chronic obstructive pulmonary disease","Percent",2017,0.00486798777434,0.00755006109417,0.00271766235101
"949744","YLDs (Years Lived with Disability)","Bristol, City of","Female","20 to 24","Chronic obstructive pulmonary disease","Percent",2017,0.0056161802807,0.00843858653467,0.00336159019446
"949745","YLDs (Years Lived with Disability)","Bristol, City of","Male","20 to 24","Chronic obstructive pulmonary disease","Rate",2017,43.0420558,67.2136725861,24.6680432557
