measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year_start,year_end,val,upper,lower
1,Deaths,4749,England,1,Male,27,Age-standardized,426,"Tracheal, bronchus, and lung cancer",3,Rate,1990,2017,-0.4933932301073341,-0.4811864757876759,-0.5051293292562451
1,Deaths,4749,England,2,Female,27,Age-standardized,426,"Tracheal, bronchus, and lung cancer",3,Rate,1990,2017,-0.002306111968486488,0.032038501450448245,-0.030229442905389734
1,Deaths,4749,England,1,Male,27,Age-standardized,426,"Tracheal, bronchus, and lung cancer",3,Rate,2007,2017,-0.163193104742257,-0.14418759430091832,-0.1812410109112861
1,Deaths,4749,England,2,Female,27,Age-standardized,426,"Tracheal, bronchus, and lung cancer",3,Rate,2007,2017,-0.02973034346085905,-0.0044322796955955064,-0.05453558974766544
1,Deaths,4749,England,1,Male,27,Age-standardized,429,Breast cancer,3,Rate,1990,2017,-0.4223761396737865,-0.3953089948495227,-0.4464454038822278
1,Deaths,4749,England,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,1990,2017,-0.38039440995323337,-0.3651028852157619,-0.39594102935481296
1,Deaths,4749,England,1,Male,27,Age-standardized,429,Breast cancer,3,Rate,2007,2017,-0.17963272929396848,-0.14331284317513718,-0.2084648383856186
1,Deaths,4749,England,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2007,2017,-0.10243981232040418,-0.08011209204086638,-0.1237572233480691
1,Deaths,4749,England,2,Female,27,Age-standardized,435,Uterine cancer,3,Rate,1990,2017,0.20547781356653547,0.25534355969332384,0.1631157770631302
1,Deaths,4749,England,2,Female,27,Age-standardized,435,Uterine cancer,3,Rate,2007,2017,0.11248336780981989,0.1501933437145527,0.07735864719773557
1,Deaths,4749,England,1,Male,27,Age-standardized,441,Colon and rectum cancer,3,Rate,1990,2017,-0.3226775105805263,-0.2940167840428132,-0.35087562523539
1,Deaths,4749,England,2,Female,27,Age-standardized,441,Colon and rectum cancer,3,Rate,1990,2017,-0.32552110498467557,-0.30694733279169323,-0.34261903125541526
1,Deaths,4749,England,1,Male,27,Age-standardized,441,Colon and rectum cancer,3,Rate,2007,2017,-0.0850329704045737,-0.05487410127709974,-0.11641972996925418
1,Deaths,4749,England,2,Female,27,Age-standardized,441,Colon and rectum cancer,3,Rate,2007,2017,-0.05163317366356826,-0.027111355159852357,-0.07572045101410421
1,Deaths,4749,England,1,Male,27,Age-standardized,694,Other road injuries,3,Rate,1990,2017,-0.8572077191304623,-0.8470140890044398,-0.8658527107217467
1,Deaths,4749,England,2,Female,27,Age-standardized,694,Other road injuries,3,Rate,1990,2017,-0.645200767507925,-0.6166542932915879,-0.673422281947838
1,Deaths,4749,England,1,Male,27,Age-standardized,694,Other road injuries,3,Rate,2007,2017,-0.07918997102688798,-0.027397498861143205,-0.12592345073497227
1,Deaths,4749,England,2,Female,27,Age-standardized,694,Other road injuries,3,Rate,2007,2017,-0.0484877005395887,0.016299047716693812,-0.1232361599263149
1,Deaths,4749,England,1,Male,27,Age-standardized,695,Other transport injuries,3,Rate,1990,2017,-0.41904375767556845,-0.3916516656037394,-0.4438515762348599
1,Deaths,4749,England,2,Female,27,Age-standardized,695,Other transport injuries,3,Rate,1990,2017,-0.3798783487449842,-0.34603454648939463,-0.41007137757597334
1,Deaths,4749,England,1,Male,27,Age-standardized,695,Other transport injuries,3,Rate,2007,2017,-0.11811507930870407,-0.08125257373357603,-0.1550319580989519
1,Deaths,4749,England,2,Female,27,Age-standardized,695,Other transport injuries,3,Rate,2007,2017,-0.02599264481884476,0.01597058230296378,-0.06589234089471314
1,Deaths,4749,England,1,Male,27,Age-standardized,322,Lower respiratory infections,3,Rate,1990,2017,-0.33535859316529665,-0.31059671419510065,-0.3574111884248375
1,Deaths,4749,England,2,Female,27,Age-standardized,322,Lower respiratory infections,3,Rate,1990,2017,-0.28532260173654644,-0.262986056019432,-0.3065003105904525
1,Deaths,4749,England,1,Male,27,Age-standardized,322,Lower respiratory infections,3,Rate,2007,2017,-0.056830757511662056,-0.027737498778040277,-0.08802632277281304
1,Deaths,4749,England,2,Female,27,Age-standardized,322,Lower respiratory infections,3,Rate,2007,2017,-0.02650572157068901,-0.0010047161520875894,-0.052550395646288946
1,Deaths,4749,England,1,Male,27,Age-standardized,414,Stomach cancer,3,Rate,1990,2017,-0.5630758733524488,-0.5494122831785392,-0.5767029760064386
1,Deaths,4749,England,2,Female,27,Age-standardized,414,Stomach cancer,3,Rate,1990,2017,-0.5027891786787109,-0.484487366919301,-0.5191925542735633
1,Deaths,4749,England,1,Male,27,Age-standardized,414,Stomach cancer,3,Rate,2007,2017,-0.2071113591913289,-0.18425551665153528,-0.22939232964923245
1,Deaths,4749,England,2,Female,27,Age-standardized,414,Stomach cancer,3,Rate,2007,2017,-0.1690719211748341,-0.14158099689000392,-0.19297766576950828
1,Deaths,4749,England,1,Male,27,Age-standardized,417,Liver cancer,3,Rate,1990,2017,0.9144949857035812,1.121422839010848,0.6038773600897352
1,Deaths,4749,England,2,Female,27,Age-standardized,417,Liver cancer,3,Rate,1990,2017,1.0379597790155721,1.2369155014013296,0.7068161642466061
1,Deaths,4749,England,1,Male,27,Age-standardized,417,Liver cancer,3,Rate,2007,2017,0.09660964952495268,0.21948899258946347,-0.09200447069648188
1,Deaths,4749,England,2,Female,27,Age-standardized,417,Liver cancer,3,Rate,2007,2017,0.18715541458462268,0.3094808461117476,-0.01545100865957599
1,Deaths,4749,England,1,Male,27,Age-standardized,509,Chronic obstructive pulmonary disease,3,Rate,1990,2017,-0.4254343163644644,-0.3803773885745839,-0.4604786726377872
1,Deaths,4749,England,2,Female,27,Age-standardized,509,Chronic obstructive pulmonary disease,3,Rate,1990,2017,0.1692539135214849,0.26567995875942874,0.11194097153026542
1,Deaths,4749,England,1,Male,27,Age-standardized,509,Chronic obstructive pulmonary disease,3,Rate,2007,2017,-0.11773990121510464,-0.08874924900376846,-0.14515845985933876
1,Deaths,4749,England,2,Female,27,Age-standardized,509,Chronic obstructive pulmonary disease,3,Rate,2007,2017,-0.050184411880724776,-0.017000567497329363,-0.08248206393053906
