age,sex,inc,mort,ylds (years lived with disability)_rate_strk,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,6.979771388203909e-5,1.0704864587624535e-6,2.8724745652601118e-5,0,6598,strk,0,10,0,0,0,5,female_strk
1,female,6.979771388203909e-5,1.0704864587624535e-6,2.8724745652601118e-5,0,6598,strk,0,10,0,0,0,5,female_strk
2,female,6.979771388203909e-5,1.0704864587624535e-6,2.8724745652601118e-5,0,6598,strk,0,10,0,0,0,5,female_strk
3,female,6.979771388203909e-5,1.0704864587624535e-6,2.8724745652601118e-5,0,6598,strk,0,10,0,0,0,5,female_strk
4,female,6.979771388203909e-5,1.0704864587624535e-6,2.8724745652601118e-5,0,6598,strk,0,10,0,0,0,5,female_strk
5,female,6.172012828538618e-5,3.531430829584913e-7,8.208066803742487e-5,1.9448111477052559e-4,6603,strk,0,10,5,0,0,5,female_strk
6,female,6.172012828538618e-5,3.531430829584913e-7,8.208066803742487e-5,1.9448111477052559e-4,6603,strk,0,10,5,0,0,5,female_strk
7,female,6.172012828538618e-5,3.531430829584913e-7,8.208066803742487e-5,1.9448111477052559e-4,6603,strk,0,10,5,0,0,5,female_strk
8,female,6.172012828538618e-5,3.531430829584913e-7,8.208066803742487e-5,1.9448111477052559e-4,6603,strk,0,10,5,0,0,5,female_strk
9,female,6.172012828538618e-5,3.531430829584913e-7,8.208066803742487e-5,1.9448111477052559e-4,6603,strk,0,10,5,0,0,5,female_strk
10,female,5.6442263696025674e-5,7.771336155210379e-7,1.3184321184032274e-4,3.6344232722908645e-4,6051,strk,0,50,10,0,0,5,female_strk
11,female,5.6442263696025674e-5,7.771336155210379e-7,1.3184321184032274e-4,3.6344232722908645e-4,6051,strk,0,50,10,0,0,5,female_strk
12,female,5.6442263696025674e-5,7.771336155210379e-7,1.3184321184032274e-4,3.6344232722908645e-4,6051,strk,0,50,10,0,0,5,female_strk
13,female,5.6442263696025674e-5,7.771336155210379e-7,1.3184321184032274e-4,3.6344232722908645e-4,6051,strk,0,50,10,0,0,5,female_strk
