age,sex,inc,mort,ylds (years lived with disability)_rate_lvrc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,1e-8,0,0,0,6598,lvrc,0,10,0,0,0,5,female_lvrc
1,female,1e-8,0,0,0,6598,lvrc,0,10,0,0,0,5,female_lvrc
2,female,1e-8,0,0,0,6598,lvrc,0,10,0,0,0,5,female_lvrc
3,female,1e-8,0,0,0,6598,lvrc,0,10,0,0,0,5,female_lvrc
4,female,1e-8,0,0,0,6598,lvrc,0,10,0,0,0,5,female_lvrc
5,female,6.47147003681431e-7,1.7279674064579443e-7,1.3680936483747033e-7,0,6603,lvrc,0,10,5,0,0,5,female_lvrc
6,female,6.47147003681431e-7,1.7279674064579443e-7,1.3680936483747033e-7,0,6603,lvrc,0,10,5,0,0,5,female_lvrc
7,female,6.47147003681431e-7,1.7279674064579443e-7,1.3680936483747033e-7,0,6603,lvrc,0,10,5,0,0,5,female_lvrc
8,female,6.47147003681431e-7,1.7279674064579443e-7,1.3680936483747033e-7,0,6603,lvrc,0,10,5,0,0,5,female_lvrc
9,female,6.47147003681431e-7,1.7279674064579443e-7,1.3680936483747033e-7,0,6603,lvrc,0,10,5,0,0,5,female_lvrc
10,female,1.135733127180444e-6,3.054499980182438e-7,2.440452394776403e-7,0,6051,lvrc,0,50,10,0,0,5,female_lvrc
11,female,1.135733127180444e-6,3.054499980182438e-7,2.440452394776403e-7,0,6051,lvrc,0,50,10,0,0,5,female_lvrc
12,female,1.135733127180444e-6,3.054499980182438e-7,2.440452394776403e-7,0,6051,lvrc,0,50,10,0,0,5,female_lvrc
13,female,1.135733127180444e-6,3.054499980182438e-7,2.440452394776403e-7,0,6051,lvrc,0,50,10,0,0,5,female_lvrc
14,female,1.135733127180444e-6,3.054499980182438e-7,2.440452394776403e-7,0,6051,lvrc,0,50,10,0,0,5,female_lvrc
15,female,4.6358333846303404e-6,1.0481770255199456e-6,1.0017238516179504e-6,0,6338,lvrc,0,50,15,0,0,5,female_lvrc
16,female,4.6358333846303404e-6,1.0481770255199456e-6,1.0017238516179504e-6,0,6338,lvrc,0,50,15,0,0,5,female_lvrc
17,female,4.6358333846303404e-6,1.0481770255199456e-6,1.0017238516179504e-6,0,6338,lvrc,0,50,15,0,0,5,female_lvrc
18,female,4.6358333846303404e-6,1.0481770255199456e-6,1.0017238516179504e-6,0,6338,lvrc,0,50,15,0,0,5,female_lvrc
19,female,4.6358333846303404e-6,1.0481770255199456e-6,1.0017238516179504e-6,0,6338,lvrc,0,50,15,0,0,5,female_lvrc
20,female,4.249226006809329e-6,8.633837707527759e-7,9.107273766151874e-7,0,7828,lvrc,0,50,20,0,0,5,female_lvrc
21,female,4.249226006809329e-6,8.633837707527759e-7,9.107273766151874e-7,0,7828,lvrc,0,50,20,0,0,5,female_lvrc
22,female,4.249226006809329e-6,8.633837707527759e-7,9.107273766151874e-7,0,7828,lvrc,0,50,20,0,0,5,female_lvrc
23,female,4.249226006809329e-6,8.633837707527759e-7,9.107273766151874e-7,0,7828,lvrc,0,50,20,0,0,5,female_lvrc
24,female,4.249226006809329e-6,8.633837707527759e-7,9.107273766151874e-7,0,7828,lvrc,0,50,20,0,0,5,female_lvrc
25,female,4.0880174370778e-6,1.3849062155160337e-6,1.12432616883096e-6,0,8833,lvrc,0,50,25,0,0,5,female_lvrc
26,female,4.0880174370778e-6,1.3849062155160337e-6,1.12432616883096e-6,0,8833,lvrc,0,50,25,0,0,5,female_lvrc
27,female,4.0880174370778e-6,1.3849062155160337e-6,1.12432616883096e-6,0,8833,lvrc,0,50,25,0,0,5,female_lvrc
28,female,4.0880174370778e-6,1.3849062155160337e-6,1.12432616883096e-6,0,8833,lvrc,0,50,25,0,0,5,female_lvrc
